City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,alice springs,-23.7,133.8833,9.75,81,3,3.6,AU,1715202662
120,kasongo-lunda,-6.4667,16.8167,26.0,60,100,0.86,CD,1715202810
121,ankang,32.68,109.0172,17.39,97,100,0.99,CN,1715202811
122,suva,-18.1416,178.4415,24.71,78,20,1.54,FJ,1715202811
123,nova sintra,14.8667,-24.7167,24.12,74,0,7.68,CV,1715202695
124,hilo,19.7297,-155.09,25.85,75,40,4.63,US,1715202813
125,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,78,75,3.58,RU,1715202813
126,papao,-17.75,-149.55,28.82,80,93,7.34,PF,1715202697
127,holualoa,19.6228,-155.9522,24.91,76,0,5.14,US,1715202718
128,darnah,32.767,22.6367,18.31,77,40,5.58,LY,1715202815
129,alvaraes,-3.2208,-64.8042,30.93,96,88,1.69,BR,1715202678
130,sisimiut,66.9395,-53.6735,-1.29,77,67,2.77,GL,1715202816
131,nuevitas,21.5453,-77.2644,28.33,66,0,5.38,CU,1715202817
132,kloulklubed,7.0419,134.2556,27.28,77,60,3.53,PW,1715202685
133,bilibino,68.0546,166.4372,-2.05,84,99,0.94,RU,1715202818
134,lebu,-37.6167,-73.65,10.78,70,48,1.95,CL,1715202819
135,longyearbyen,78.2186,15.6401,0.91,60,20,5.14,SJ,1715202803
136,west island,-12.1568,96.8225,26.99,83,75,5.14,CC,1715202651
137,gemena,3.25,19.7667,22.74,98,100,1.76,CD,1715202821
138,bonthe,7.5264,-12.505,28.09,80,90,3.41,SL,1715202822
139,constantia,44.1833,28.65,11.38,82,69,6.45,RO,1715202822
140,el calafate,-50.3408,-72.2768,0.0,72,98,0.82,AR,1715202735
141,alaghsas,17.0187,8.0168,34.16,10,94,4.22,NE,1715202529
142,hermanus,-34.4187,19.2345,14.22,78,0,2.83,ZA,1715202823
143,fort bragg,35.139,-79.006,31.91,59,40,4.63,US,1715202824
144,selfoss,63.9331,-20.9971,6.14,61,11,4.11,IS,1715202686
145,carutapera,-1.195,-46.02,25.96,86,69,2.29,BR,1715202825
146,sandnessjoen,66.0217,12.6316,7.06,65,75,3.6,NO,1715202748
147,opuwo,-18.0607,13.84,23.52,43,69,0.85,NA,1715202826
148,kruisfontein,-34.0033,24.7314,16.05,74,76,0.91,ZA,1715202826
149,bizerte,37.2744,9.8739,15.71,79,26,7.41,TN,1715202827
150,sona,45.4388,10.8255,16.75,88,40,2.06,IT,1715202730
151,mersing,2.4312,103.8405,25.2,92,93,1.19,MY,1715202828
152,peace river,56.2501,-117.286,16.89,34,82,7.41,CA,1715202606
153,mount isa,-20.7333,139.5,19.87,83,75,2.06,AU,1715202829
154,illela,13.7292,5.2975,34.81,20,87,1.33,NG,1715202829
155,manokwari,-0.8667,134.0833,25.9,85,100,1.44,ID,1715202830
156,salahonda,2.1019,-78.7217,25.09,89,100,2.29,CO,1715202830
157,oruro,-17.9833,-67.15,16.18,19,4,4.68,BO,1715202831
158,vytegra,61.0064,36.4481,-0.91,64,100,6.26,RU,1715202831
159,say,13.1007,2.3689,38.1,17,33,2.94,NE,1715202832
160,arraial do cabo,-22.9661,-42.0278,25.92,83,0,4.12,BR,1715202832
161,sarkand,45.41,79.9186,15.63,44,8,2.85,KZ,1715202833
162,lubang,13.8584,120.124,28.64,77,14,7.55,PH,1715202833
163,juticalpa,14.65,-86.2,39.15,21,79,3.15,HN,1715202834
164,breclav,48.759,16.882,12.47,72,62,3.83,CZ,1715202834
165,bata,1.8639,9.7658,27.3,87,100,1.96,GQ,1715202835
166,enewetak,11.3474,162.3373,27.61,77,99,8.46,MH,1715202678
167,nchelenge,-9.3451,28.734,21.69,59,100,2.53,ZM,1715202836
168,sur,22.5667,59.5289,33.01,48,30,1.97,OM,1715202836
169,villa gesell,-37.2639,-56.973,13.36,61,60,13.53,AR,1715202831
170,vineland,39.4862,-75.0257,31.12,42,0,6.17,US,1715202008
171,touros,-5.1989,-35.4608,26.98,82,49,4.78,BR,1715202838
172,laguna,38.421,-121.4238,26.41,23,0,9.77,US,1715202838
173,viedma,-40.8135,-62.9967,9.25,49,6,6.65,AR,1715202271
174,idrinskoye,54.3708,92.1358,10.53,54,99,2.8,RU,1715202839
175,la passe,45.5549,-0.8967,17.13,87,37,4.72,FR,1715202673
176,cidreira,-30.1811,-50.2056,24.47,76,100,5.75,BR,1715202649
177,nefteyugansk,61.0998,72.6035,2.2,93,100,5.36,RU,1715202841
178,port lincoln,-34.7333,135.8667,14.77,83,74,4.36,AU,1715202841
179,rajaori,33.3833,74.3,21.74,39,0,3.0,IN,1715202842
180,kolokani,13.5728,-8.0339,35.53,23,38,3.06,ML,1715202842
181,kristiansund,63.1115,7.732,9.03,66,75,4.63,NO,1715202665
182,ascension,30.2169,-90.9001,33.12,69,100,6.17,US,1715202843
183,tiksi,71.6872,128.8694,-7.22,93,75,2.79,RU,1715202844
184,kapuskasing,49.4169,-82.4331,10.56,50,94,5.66,CA,1715202669
185,escalante,10.8167,123.5,26.52,81,100,0.92,PH,1715202846
186,vicuna,-30.0319,-70.7081,23.76,16,0,1.61,CL,1715202752
187,ilulissat,69.2167,-51.1,-2.99,74,100,0.0,GL,1715202654
188,manggar,-2.8833,108.2667,27.5,81,100,1.87,ID,1715202847
189,tolanaro,-25.0319,46.9987,22.65,87,62,5.97,MG,1715202847
190,al ghayzah,16.2079,52.176,29.8,73,0,4.12,YE,1715202848
191,vadso,70.0744,29.7487,-1.51,86,75,3.09,NO,1715202671
192,praia da vitoria,38.7333,-27.0667,17.64,84,14,3.93,PT,1715202849
193,sakakah,29.9697,40.2064,22.76,15,0,4.36,SA,1715202850
